inputsize,minDelay,maxDelay,fNode,rounds,time
7,1000,3000,1,3,59.67
7,1000,3500,1,4,85.86
7,1000,4000,1,3,74.65
7,1000,4500,1,3,82.98
7,1000,5000,1,3,89.69
7,1000,5500,1,4,94.25
